sentence,entities,character_entities
"Though he was but two-and-fifty, Doran Martell seemed much older.","['two-and-fifty', 'Doran Martell']",['Doran']
"Obara’s voice was thick with contempt.

",['Obara'],['Obara']
“And who will deliver us Lord Tywin’s head?,['Tywin'],['Tywin']
"“Obara, look at the children, if it please you.”

",['Obara'],['Obara']
I’d get more pleasure from driving my spear into Lord Tywin’s belly.,['Tywin'],['Tywin']
Obara laughed.,['Obara'],['Obara']
Obara edged closer to the prince in his chair.,['Obara'],['Obara']
"“It is a deal to ask, Obara.",['Obara'],['Obara']
"Obara turned upon her heel and strode off as angrily as she had come, back to the stables for a fresh horse and another headlong gallop down the road.

",['Obara'],['Obara']
"Ser Arys had come to Dorne to attend his own princess, as Areo Hotah had once come with his.",['Areo Hotah'],['Areo']
"And a year later Oberyn arrived, squalling and kicking.","['a year later', 'Oberyn']",['Oberyn']
Areo Hotah did not know what to say to that.,['Areo Hotah'],['Areo']
"Doran winced at the sound, as if somehow it had hurt him.",['Doran'],['Doran']
"Leave me, Areo.",['Areo'],['Areo']
"Doran groaned as the captain moved him, but the gods were good and he did not wake.

",['Doran'],['Doran']
"The pain had been so fierce that he thought his heart might stop, yet Areo Hotah had not flinched.",['Areo Hotah'],['Areo']
"Although the prince had spoken of departing at first light, Areo Hotah knew that he would dawdle.","['first', 'Areo Hotah']",['Areo']
"Whilst the maester helped Doran Martell to bathe and bandaged up his swollen joints in linen wraps soaked with soothing lotions, the captain donned a shirt of copper scales as befit his rank, and a billowing cloak of dun-and-yellow sandsilk to keep the sun off the copper.",['Doran Martell'],['Doran']
"Doran kept a splendid Myrish blanket over his legs as he spoke with them, to spare the young ones the sight of his swollen, bandaged joints.

","['Doran', 'Myrish']",['Doran']
"Areo Hotah himself took his familiar place at the left hand of the prince, resting his longaxe on a shoulder as he walked.",['Areo Hotah'],['Areo']
"Nymeria Sand was five-and-twenty, and slender as a willow.","['Nymeria Sand', 'five-and-twenty']",['Nymeria']
"but Obara’s mother had been an Oldtown whore, whilst Nym was born from the noblest blood of old Volantis.","['Obara', 'Oldtown', 'Nym', 'Volantis']",['Obara']
"Is it true that Gregor Clegane admitted slaying Elia and her children?”

“He roared out his guilt for all the court to hear,” the prince admitted.","['Gregor Clegane', 'Elia']",['The Mountain']
"“Obara would have me go to war.”

",['Obara'],['Obara']
"“Obara?”

“Tyene.",['Obara'],['Obara']
Obara is too loud.,['Obara'],['Obara']
"Obara would make Oldtown our father’s funeral pyre, but I am not so greedy.","['Obara', 'Oldtown']",['Obara']
"Lord Tywin’s golden twins, as payment for Elia’s children.","['Tywin', 'Elia’s']",['Tywin']
Her sister Obara wore her whip upon her hip and carried a spear where any man could see it.,['Obara'],['Obara']
"“Oberyn died during single combat, fighting in a matter that was none of his concern.",['Oberyn'],['Oberyn']
"Oberyn laughed, and said, ‘When have I provoked any man . . .",['Oberyn'],['Oberyn']
"Areo Hotah boomed out, thumping the butt of his longaxe on the bricks.",['Areo Hotah'],['Areo']
"a man bellowed from a balcony.

“Doran!” called some highborn voice.",['Doran'],['Doran']
"One ragged boy darted past the spearmen with a half-rotten pomegranate in one hand, but when he saw Areo Hotah in his path, with longaxe at the ready, he let the fruit fall unthrown and beat a quick retreat.","['One', 'half', 'Areo Hotah']",['Areo']
"Doran Martell stayed cloaked within his silken walls until the thicker walls of the castle swallowed all of them, and the portcullis came down behind them with a rattling crunch.",['Doran Martell'],['Doran']
"Little Myrcella Baratheon stood with her septa and Ser Arys of the Kingsguard, sweltering in his white-enameled scales.

","['Myrcella Baratheon', 'Kingsguard']",['Myrcella']
"Even so, Doran Martell bit back a gasp of pain.

",['Doran Martell'],['Doran']
"“I do not see Tyene.”

",['Tyene'],['Tyene']
"and yet somehow they reminded the captain of her father’s eyes, though Oberyn’s had been as black as night.",['Oberyn'],['Oberyn']
"All of Prince Oberyn’s daughters have his viper eyes, Hotah realized suddenly.","['Oberyn', 'Hotah']",['Oberyn']
"“Uncle,” said Tyene Sand, “I have been waiting for you.”

",['Tyene Sand'],['Tyene']
"There were two seats on the dais, near twin to one another, save that one had the Martell spear inlaid in gold upon its back, whilst the other bore the blazing Rhoynish sun that had flown from the masts of Nymeria’s ships when first they came to Dorne.","['two', 'Martell', 'Rhoynish', 'Nymeria', 'first', 'Dorne']",['Nymeria']
"Her mother had been a septa, and Tyene had an air of almost otherworldy innocence about her.",['Tyene'],['Tyene']
"I am weary, Tyene.”

",['Tyene'],['Tyene']
"And you?”

“War,” said Tyene, “though not my sister’s war.",['Tyene'],['Tyene']
Dimples bloomed in Tyene’s cheeks.,['Tyene'],['Tyene']
"Trystane and Myrcella are so innocent, I thought perhaps white gold . . .","['Trystane', 'Myrcella']","['Trystane', 'Myrcella']"
"with emeralds, to match Myrcella’s eyes.",['Myrcella'],['Myrcella']
"Then we need only hail Myrcella as the First of Her Name, Queen of the Andals, the Rhoynar, and the First Men, and lawful heir to the Seven Kingdoms of Westeros, and wait for the lions to come.”

","['Myrcella', 'First', 'Andals', 'Rhoynar', 'the Seven']",['Myrcella']
"“She is older than her brother,” explained Tyene, as if he were some fool.",['Tyene'],['Tyene']
"And Myrcella is in Dorne, as it happens.”

","['Myrcella', 'Dorne']",['Myrcella']
Tyene grew cross.,['Tyene'],['Tyene']
"“You think too much, Uncle.”

“Do I?”

“Father said so.”

“Oberyn thought too little.”

","['Uncle', 'Oberyn']",['Oberyn']
Doran hesitated half a heartbeat before placing his hand on his niece’s head.,"['Doran', 'half']",['Doran']
"“Now, I think,” Doran Martell urged gently, and Caleotte scurried to the stairs.

","['Doran Martell', 'Caleotte']",['Doran']
After a long silence he turned to Areo Hotah.,['Areo Hotah'],['Areo']
"“Ellaria’s girls are too young to be a danger, but there are those who might seek to use them against me.",['Ellaria'],['Ellaria']
"but first secure Tyene, Nymeria, and Obara.”

“As my prince commands.”","['first', 'Tyene', 'Nymeria', 'Obara']","['Tyene', 'Nymeria', 'Obara']"
"“All Dorne will howl,” said Doran Martell in a tired voice.","['All Dorne', 'Doran Martell']",['Doran']
"For half a heartbeat the hand seemed part of the nightmare, and Cersei cried out, but it was only Senelle.","['half a heartbeat', 'Cersei', 'Senelle']",['Cersei']
"His hair curled, as Jaime’s did, but her brother’s hair was beaten gold, like hers, where this man’s was black and oily.",['Jaime'],['Jaime']
"I am dreaming still, Cersei thought.",['Cersei'],['Cersei']
"My children will be safe, Tommen’s throne will be secure, and my twisted little valonqar will be short a head and rotting.

",['Tommen'],['Tommen']
"Ser Loras might be as pretty as a maiden’s dream, but underneath his white cloak he was Tyrell to the bone.","['Loras', 'Tyrell']",['Loras']
"All but one, Cersei thought.",['Cersei'],['Cersei']
"She would need to move quickly, as she had when Robert died.",['Robert'],['Robert']
"This might be the work of Stannis Baratheon, through some catspaw.",['Stannis Baratheon'],['Stannis']
"Stannis did not frighten her, no more than Mace Tyrell did.","['Stannis', 'Mace Tyrell']","['Stannis', 'Mace']"
"Even when Tommen had no further need of a regent, the Lady of Casterly Rock would remain a power in the land.

",['Tommen'],['Tommen']
"Within the tower, the smoke from the torches irritated her eyes, but Cersei did not weep, no more than her father would have.",['Cersei'],['Cersei']
"Ser Meryn pushed the door open for her to enter.

",['Meryn'],['Meryn']
"Her uncle Kevan was on his knees beside the bed, trying to pray, but he could scarcely get the words out.",['Kevan'],['Kevan']
But Tyrion is only half a man.,"['Tyrion', 'only half']",['Tyrion']
"Stannis, she told herself, Stannis was behind it.",['Stannis'],['Stannis']
Cersei had a sudden vision of the dwarf crawling out from behind a tapestry in Tommen’s bedchamber with blade in hand.,['Tommen'],['Tommen']
They said Catelyn Stark had clawed her own face to bloody ribbons when the Freys slew her precious Robb.,"['Catelyn Stark', 'Robb']","['Catelyn', 'Robb']"
Lord Tywin was often away in King’s Landing when she and Jaime were young.,"['King', 'Jaime']",['Jaime']
"The bells must ring for him, as they rang for Robert.",['Robert'],['Robert']
Where is Pycelle?,['Pycelle'],['Pycelle']
Where is Pycelle?”,['Pycelle'],['Pycelle']
"“Puckens, bring Grand Maester Pycelle.","['Puckens', 'Grand Maester Pycelle']",['Pycelle']
"And Pycelle runs off to send a message rather than soil his soft, wrinkled hands.",['Pycelle'],['Pycelle']
"Ser Jaime went to see how deep it goes.”

",['Jaime'],['Jaime']
"His face was vaguely familiar, though Cersei could not place him.",['Cersei'],['Cersei']
"Old, but not so old as Pycelle.",['Pycelle'],['Pycelle']
"My name is Qyburn, if it please Your Grace.",['Qyburn'],['Qyburn']
"He had come with Jaime from Harrenhal.

",['Jaime'],['Jaime']
"“I could not save Ser Jaime’s hand, it is true.",['Jaime'],['Jaime']
"“Perhaps his lordship was questioning the girl about her mistress,” Qyburn suggested.",['Qyburn'],['Qyburn']
"“Sansa Stark vanished the night the king was murdered, I have heard.”

","['Sansa Stark', 'the night']",['Sansa']
"She could see Tyrion leering, his mouth twisted into a monkey’s grin beneath the ruin of his nose.",['Tyrion'],['Tyrion']
"She pushed past Qyburn, out into the hall.

",['Qyburn'],['Qyburn']
Ser Osney had faint scratches on his cheek where another of Tyrion’s whores had clawed him.,"['Osney', 'Tyrion']",['Tyrion']
"Shae, her name was Shae.",['Shae'],['Shae']
"Shae had been asking about some jewels Tyrion had given her, and certain promises Cersei might have made, a manse in the city and a knight to marry her.",['Cersei'],['Cersei']
The queen made it plain that the whore would have nothing of her until she told them where Sansa Stark had gone.,['Sansa Stark'],['Sansa']
"Shae left in tears.

",['Shae'],['Shae']
"“I want that chain,” Cersei said.",['Cersei'],['Cersei']
"Jaime hugged her, his good hand pressing against the small of her back.",['Jaime'],['Jaime']
"“We are his heirs, Jaime,” she whispered.",['Jaime'],['Jaime']
"“Tommen, or the Seven Kingdoms.”

","['Tommen', 'Seven']",['Tommen']
"Jaime’s arm rose to catch the blow, cat-quick . . .",['Jaime'],['Jaime']
Jaime inclined his head in apology.,['Jaime'],['Jaime']
"Jon Arryn put Robert Baratheon in her bed, and before he died he’d begun sniffing about her and Jaime as well.","['Jon Arryn', 'Robert Baratheon', 'Jaime']","['Robert', 'Jaime']"
"Eddard Stark took up right where Arryn had left off; his meddling had forced her to rid herself of Robert sooner than she would have liked, before she could deal with his pestilential brothers.","['Stark', 'Arryn', 'Robert']",['Robert']
"Tyrion sold Myrcella to the Dornishmen, made one of her sons his hostage, and murdered the other.","['Myrcella', 'Dornishmen', 'one']",['Myrcella']
"Pycelle was a doddering lickspittle, Jaime had lost his courage with his sword hand, and Mace Tyrell and his cronies Redwyne and Rowan could not be trusted.","['Pycelle', 'Jaime', 'Mace Tyrell', 'Redwyne', 'Rowan']","['Pycelle', 'Jaime', 'Mace']"
"The city was full of his men, and he’d even managed to plant one of his sons in the Kingsguard, and meant to plant his daughter in Tommen’s bed.","['Kingsguard', 'Tommen']",['Tommen']
"Mace Tyrell claimed his daughter was still virgin, but Cersei had her doubts.","['Mace Tyrell', 'Cersei']","['Mace', 'Cersei']"
"Joffrey had been murdered before he could bed the girl, but she had been wed to Renly first . . .","['Joffrey', 'first']",['Joffrey']
She had forgotten about Varys.,['Varys'],['Varys']
"Jaime is here, and Uncle Kevan, and Pycelle has come and gone, but not Varys.","['Jaime', 'Uncle Kevan', 'Pycelle', 'Varys']","['Jaime', 'Pycelle', 'Varys']"
For all she knew he might be one of Tyrion’s creatures.,['Tyrion'],['Tyrion']
"This is the shortest road to Duskendale, Brienne told herself.","['Duskendale', 'Brienne']",['Brienne']
"If Sansa came this way, someone must have seen her.",['Sansa'],['Sansa']
"As Brienne mounted up again, she glimpsed a skinny boy atop a piebald horse at the far end of the village.",['Brienne'],['Brienne']
Rosby was scarce more than a wide place in the road; Sansa would have had no reason to linger here.,['Sansa'],['Sansa']
"Returning to the road, Brienne headed north and east past apple orchards and fields of barley, and soon left the village and its castle well behind.","['Brienne', 'apple orchards']",['Brienne']
"“I will find the girl and keep her safe,” Brienne had promised Ser Jaime, back at King’s Landing.","['Brienne', 'Jaime', 'King’s Landing']","['Brienne', 'Jaime']"
"Sansa Stark had vanished on the night King Joffrey died, and if anyone had seen her since, or had any inkling where she might have gone, they were not talking.","['Sansa Stark', 'King Joffrey']",['Sansa']
Brienne believed the girl had left the city.,['Brienne'],['Brienne']
"Sansa’s father had been beheaded whilst she watched, however.",['Sansa'],['Sansa']
"Even if Sansa Stark had wanted to go home, how would she get there?",['Sansa Stark'],['Sansa']
"The ironborn held Moat Cailin athwart the Neck, and at the Twins sat the Freys, who had murdered Sansa’s brother and lady mother.","['Moat Cailin', 'Twins', 'Sansa']",['Sansa']
"Brienne had asked along the docks, but no one could remember a ship leaving on the night King Joffrey died.","['Brienne', 'King Joffrey']",['Brienne']
Brienne’s mare was sweet to look upon and kept a pretty pace.,['Brienne'],['Brienne']
"A young septon galloped past upon a palfrey as fine as any lord’s, and later she met a band of silent sisters who shook their heads when Brienne put her question to them.","['septon', 'Brienne']",['Brienne']
They made a rustling sound as they scuttled past the hooves of the big bay mare that Jaime Lannister had bestowed on her.,['Jaime Lannister'],['Jaime']
She found herself wondering whether Jaime had given her this task as some cruel jape.,['Jaime'],['Jaime']
"Perhaps Sansa Stark was dead, beheaded for her part in King Joffrey’s death, buried in some unmarked grave.","['Sansa Stark', 'King Joffrey’s']",['Sansa']
"The younger girl was long dead, Jaime claimed; the Arya the Lannisters sent north to marry Roose Bolton’s bastard was a fraud.","['Jaime', 'Lannisters', 'Roose Bolton']","['Jaime', 'Roose']"
That left only Sansa.,['Sansa'],['Sansa']
"Brienne had to find her.

",['Brienne'],['Brienne']
It was not the first time Brienne had been mistaken for a man.,"['first', 'Brienne']",['Brienne']
"Had Brienne been a man, she would have been called big; for a woman, she was huge.",['Brienne'],['Brienne']
"If there was a song about Creighton Longbough, it was not one Brienne had heard.","['Creighton Longbough', 'one', 'Brienne']",['Brienne']
"Brienne stood a head taller than either of them, and was better mounted and better armed in the bargain.",['Brienne'],['Brienne']
"Swinging down, Brienne unsaddled her mare and watered her before hobbling her to graze.",['Brienne'],['Brienne']
Brienne could have told him more about the perils of the roads than he might have cared to know.,['Brienne'],['Brienne']
"We were three when we set out from Riverrun, yet Jaime lost his hand and Cleos Frey his life.","['three', 'Riverrun', 'Jaime']",['Jaime']
"Brienne was uncertain what he meant.

",['Brienne'],['Brienne']
"Brienne had found it in the stables with her mare, along with much else; saddle and bridle, chain mail hauberk and visored greathelm, purses of gold and silver and a parchment more valuable than either.","['Brienne', 'visored greathelm']",['Brienne']
"Creigh, behold the Maid o’ Tarth, who opened Renly’s royal throat for him.”

","['Creigh', 'Maid', 'Renly']",['Renly']
Renly Baratheon had been more than a king to her.,['Renly Baratheon'],['Renly']
"And Renly Baratheon had shown her every courtesy, as if she were a proper maid, and pretty.",['Renly Baratheon'],['Renly']
"As the hedge knights slept, Brienne paced restlessly around the little camp, listening to the crackle of the fire.",['Brienne'],['Brienne']
"So Brienne paced, and kept her blade loose in its scabbard.

",['Brienne'],['Brienne']
"Brienne spread a blanket on the ground, and curled up to close her eyes.",['Brienne'],['Brienne']
"It was a lesson she had learned beneath the walls of Highgarden, and again when she and Jaime had fallen into the hands of the Brave Companions.

","['Highgarden', 'Jaime', 'the Brave Companions']",['Jaime']
The cold in the earth seeped through Brienne’s blankets to soak into her bones.,['Brienne'],['Brienne']
"She wondered whether Sansa Stark was cold as well, wherever she might be.",['Sansa Stark'],['Sansa']
"Lady Catelyn had said that Sansa was a gentle soul who loved lemon cakes, silken gowns, and songs of chivalry, yet the girl had seen her father’s head lopped off and been forced to marry one of his killers afterward.","['Lady Catelyn', 'Sansa']",['Sansa']
"In King’s Landing, Brienne had hunted down a certain Brella, who had been one of Sansa’s maids.","['King', 'Brienne', 'Brella', 'Sansa']","['Brienne', 'Sansa']"
The woman told her that there was little warmth between Sansa and the dwarf.,['Sansa'],['Sansa']
"Perhaps she had been fleeing him as well as Joffrey’s murder.

",['Joffrey'],['Joffrey']
Whatever dreams Brienne dreamed were gone when dawn awoke her.,"['Brienne', 'dawn']",['Brienne']
"Brienne asked them.

",['Brienne'],['Brienne']
"No, Brienne thought, not so desperate as that.",['Brienne'],['Brienne']
It was midday when Brienne heard chanting drifting through the bare brown trees.,"['midday', 'Brienne']",['Brienne']
Brienne knew the chant.,['Brienne'],['Brienne']
Brienne edged her mare forward.,['Brienne'],['Brienne']
"Brienne and the hedge knights sat upon their horses as the procession moved slowly past, following the rutted road toward Rosby.","['Brienne', 'Rosby']",['Brienne']
"“What sort of man would slay a holy septon?”

Brienne knew what sort.",['Brienne'],['Brienne']
He glanced at Brienne.,['Brienne'],['Brienne']
Brienne spurred her mare toward Duskendale.,['Brienne'],['Brienne']
"“We mean you no harm,” said Brienne.

",['Brienne'],['Brienne']
"She dared not mention Sansa’s name, with her accused of regicide.",['Sansa'],['Sansa']
"Four blades, thought Brienne, but she held her tongue.

","['Four', 'Brienne']",['Brienne']
Ser Jaime’s mockery had cut her deep; the little man’s words hardly touched her.,['Jaime'],['Jaime']
"I seek for Sansa Stark as well.”

",['Sansa Stark'],['Sansa']
"Brienne kept her face a mask, to hide her dismay.",['Brienne'],['Brienne']
"You know who Varys is, I trust?",['Varys'],['Varys']
"“A certain fool vanished from King’s Landing the night King Joffrey died, a stout fellow with a nose full of broken veins, one Ser Dontos the Red, formerly of Duskendale.","['King’s Landing', 'King Joffrey', 'one', 'Dontos', 'Duskendale']",['Dontos']
I pray your sister and her drunken fool are not mistaken for the Stark girl and Ser Dontos.,"['Stark', 'Dontos']",['Dontos']
Even Jaime Lannister had seldom made Brienne feel such a fool.,"['Jaime Lannister', 'Brienne']","['Jaime', 'Brienne']"
"The woman Brella had told her how Joffrey had stripped Ser Dontos of his spurs, how Lady Sansa begged Joffrey for his life.","['Brella', 'Joffrey', 'Dontos', 'Lady Sansa', 'Joffrey']","['Joffrey', 'Dontos', 'Joffrey']"
"He helped her flee, Brienne had decided, when she heard the tale.",['Brienne'],['Brienne']
"Find Ser Dontos, and I will find Sansa.",['Dontos'],['Dontos']
She could only hope that Ser Dontos had hidden Sansa well.,"['Dontos', 'Sansa']","['Dontos', 'Sansa']"
Brienne did not lack for coin; Jaime had seen to that.,"['Brienne', 'Jaime']","['Brienne', 'Jaime']"
"In her saddlebags she’d found a purse fat with silver stags and copper stars, a smaller one stuffed with golden dragons, and a parchment commanding all loyal subjects of the king to assist the bearer, Brienne of House Tarth, who was about His Grace’s business.","['one', 'Brienne', 'House', 'Grace']",['Brienne']
"It was signed in a childish hand by Tommen, the First of His Name, King of the Andals, the Rhoynar, and the First Men, and Lord of the Seven Kingdoms.

","['Tommen', 'First', 'Andals', 'Rhoynar', 'Seven']",['Tommen']
"Warm yellow light shone through the diamond-shaped panes of the inn’s windows, and Brienne heard a stallion trumpet at the scent of her mare.",['Brienne'],['Brienne']
"Brienne gave him the reins and followed the others into the inn, with her saddlebags across a shoulder and her bedroll tucked up beneath one arm.

",['Brienne'],['Brienne']
Brienne could feel their eyes.,['Brienne'],['Brienne']
"Brienne indicated Ser Creighton and Ser Illifer.

","['Brienne', 'Creighton']",['Brienne']
"Brienne tried the goat herself, after following the innkeep up the steps, pressing some coins into his hand, and stashing her goods in the second room he showed her.","['Brienne', 'second']",['Brienne']
"The hedge knights and the septon washed down the meat with ale, but Brienne drank a cup of goat’s milk.",['Brienne'],['Brienne']
"“It was not a wolf,” Brienne heard herself say.",['Brienne'],['Brienne']
Brienne remembered her fight with Jaime Lannister in the woods.,"['Brienne', 'Jaime Lannister']","['Brienne', 'Jaime']"
"Jaime had done many wicked things, but the man could fight!",['Jaime'],['Jaime']
"The ceiling in her room was low; entering with a taper in her hand, Brienne had to duck or crack her head.",['Brienne'],['Brienne']
"When she slid Oathkeeper from the ornate scabbard, Brienne’s breath caught in her throat.","['Oathkeeper', 'Brienne']",['Brienne']
"She had failed Renly, had failed Lady Catelyn.","['Renly', 'Lady Catelyn']",['Renly']
"For all its width it was not long enough, so Brienne lay across it sideways.",['Brienne'],['Brienne']
Only then did Brienne rise to gather up her things.,['Brienne'],['Brienne']
He had not eaten since that bowl of bean-and-bacon soup with Pyp and Grenn.,"['Pyp', 'Grenn']",['Grenn']
"Jon would be wondering what had become of him, though Maester Aemon would no doubt understand.",['Maester Aemon'],['Aemon']
"Before he had lost his sight, the maester had loved books as much as Samwell Tarly did.",['Samwell Tarly'],['Samwell']
"It would be even better if he could sleep down here, in the cell he’d found half-hidden behind four chests full of loose pages that had gotten separated from the books they belonged to, but he did not want to leave Maester Aemon alone for so long.","['half', 'four', 'Maester Aemon']",['Aemon']
"Aemon had Clydas, to be sure, but Sam was younger, and better with the birds.

","['Aemon', 'Clydas', 'Sam']",['Aemon']
"You have your Sworn Brothers all around you, not to mention Stannis Baratheon and all his knights.","['Sworn Brothers', 'Stannis Baratheon']",['Stannis']
Jon had the builders working night and day on the task.,['Jon'],['Jon']
"And as much as Samwell Tarly hated steps, he hated the winch cage more.",['Samwell Tarly'],['Samwell']
Or had Stannis found one egg on Dragonstone?,"['Stannis', 'one']",['Stannis']
"“Samwell,” said a glum voice, “I was coming to fetch you.",['Samwell'],['Samwell']
"Lord Snow wishes to speak with you as soon as he is done with Craster’s wife.”

",['Craster'],['Craster']
"“Most goats do,” called Pyp, as he and Grenn emerged from around the corner, with longbows in hand and quivers of arrows on their backs.","['Pyp', 'Grenn']",['Grenn']
"There was a mouse . . .”

“Don’t mention mice to Grenn.",['Grenn'],['Grenn']
"“I am not,” Grenn declared with indignation.

",['Grenn'],['Grenn']
"“Where's your longbow, Sam?” asked Grenn.","['Sam', 'Grenn']",['Grenn']
"Ser Alliser used to call him Aurochs, and every day he seemed to grow into the name a little more.","['Alliser', 'Aurochs']",['Alliser']
"Almost the first thing Jon Snow had done as Lord Commander was institute daily archery drill for the entire garrison, even stewards and cooks.","['Jon Snow', 'daily']",['Jon']
"Sam had only spoken to Val twice, when Maester Aemon called upon her to make sure the babes were healthy.","['Sam', 'Maester Aemon']",['Aemon']
"“I don’t have time for archery today, I need to go see Jon.”

“Jon? Jon?","['today', 'Jon']",['Jon']
"If not for us, Janos Slynt might be our lord commander.",['Janos Slynt'],['Janos']
Lord Janos would have sent Snow ranging naked on a mule.,"['Janos', 'Snow']",['Janos']
"‘Scamper on up to Craster’s Keep,’ he would have said, ‘and fetch me back the Old Bear’s cloak and boots.’","['Craster', 'the Old Bear’s']",['Craster']
"We saved him from that, but now he has too many duties to drink a cup of mulled wine by the fire?”

Grenn agreed.",['Grenn'],['Grenn']
"Once, when Jon came to consult with Maester Aemon, Sam had asked him why he spent so much time at swordplay.","['Jon', 'Maester Aemon', 'Sam']","['Jon', 'Aemon']"
"In answer, Jon had pressed Longclaw into Sam’s hand.","['Jon', 'Longclaw', 'Sam']",['Jon']
That made Jon laugh.,['Jon'],['Jon']
Qhorin could have killed me as easy as you eat a bowl of porridge.”,['Qhorin'],['Qhorin']
"The Lord Commander’s Tower had been gutted by fire, and Stannis Baratheon had claimed the King’s Tower for his own residence, so Jon Snow had established himself in Donal Noye’s modest quarters behind the armory.","['’s Tower', 'Stannis Baratheon', 'the King’s Tower', 'Jon Snow', 'Donal Noye’s']","['Stannis', 'Jon']"
"Gilly was leaving as Sam arrived, wrapped up in the old cloak he’d given her when they were fleeing Craster’s Keep.","['Sam', 'Craster']",['Craster']
"“How are the babes?”

Gilly pulled loose from him.",['Gilly'],['Gilly']
"I should not have brought so many, he told himself as he brushed the dirt off Colloquo Votar’s Jade Compendium, a thick volume of tales and legends from the east that Maester Aemon had commanded him to find.","['Colloquo Votar’s', 'Jade Compendium', 'Maester Aemon']",['Aemon']
