sentence,entities,character_entities
That was when he noticed the bundle in Robb’s arms.,['Robb'],['Robb']
"It nuzzled blindly against Robb’s chest as he cradled it, searching for milk among his leathers, making a sad little whimpery sound.",['Robb'],['Robb']
"Bran gave the pup a quick nervous stroke, then turned as Jon said, “Here you go.”",['Jon'],['Jon']
"“It is a sign,” Jory said.

",['Jory'],['Jory']
"“This is only a dead animal, Jory,” he said.",['Jory'],['Jory']
"“Maybe she didn’t,” Jory said.",['Jory'],['Jory']
"“The sooner the better,” Theon Greyjoy agreed.",['Theon Greyjoy'],['Theon']
"“She’ll rip them apart when they try to nurse.”

“Lord Stark,” Jon said.","['Stark', 'Jon']",['Jon']
"“Three male, two female.”

“What of it, Jon?”

“You have five trueborn children,” Jon said.","['Three', 'two', 'Jon', 'five', 'Jon']","['Jon', 'Jon']"
He loved Jon with all his heart at that moment.,['Jon'],['Jon']
The count had come right only because Jon had omitted himself.,['Jon'],['Jon']
"He had included the girls, included even Rickon, the baby, but not the bastard who bore the surname Snow, the name that custom decreed be given to all those in the north unlucky enough to be born with no name of their own.

","['Rickon', 'Snow']",['Rickon']
"“You want no pup for yourself, Jon?” he asked softly.

",['Jon'],['Jon']
"“The direwolf graces the banners of House Stark,” Jon pointed out.","['House', 'Stark', 'Jon']",['Jon']
Their lord father regarded Jon thoughtfully.,['Jon'],['Jon']
"Jory, Desmond, gather up the other pups.","['Jory', 'Desmond']",['Jory']
It was not until they were mounted and on their way that Bran allowed himself to taste the sweet air of victory.,['Bran'],['Bran']
"Halfway across the bridge, Jon pulled up suddenly.

","['Halfway', 'Jon']",['Jon']
"“What is it, Jon?” their lord father asked.

",['Jon'],['Jon']
"“Can’t you hear it?”

Bran could hear the wind in the trees, the clatter of their hooves on the ironwood planks, the whimpering of his hungry pup, but Jon was listening to something else.

","['Can’t', 'Jon']",['Jon']
"“There,” Jon said.",['Jon'],['Jon']
"“He must have crawled away from the others,” Jon said.

",['Jon'],['Jon']
"“An albino,” Theon Greyjoy said with wry amusement.",['Theon Greyjoy'],['Theon']
"Jon Snow gave his father’s ward a long, chilling look.",['Jon Snow'],['Jon']
"“This one belongs to me.”





CATELYN


Catelyn had never liked this godswood.

",['Catelyn'],['Catelyn']
Catelyn had been anointed with the seven oils and named in the rainbow of light that filled the sept of Riverrun.,"['Catelyn', 'seven']",['Catelyn']
"For her sake, Ned had built a small sept where she might sing to the seven faces of god, but the blood of the First Men still flowed in the veins of the Starks, and his own gods were the old ones, the nameless, faceless gods of the greenwood they shared with the vanished children of the forest.

","['Ned', 'seven', 'Starks']",['Ned']
"“The heart tree,” Ned called it.",['Ned'],['Ned']
"Catelyn found her husband beneath the weirwood, seated on a moss-covered stone.",['Catelyn'],['Catelyn']
"“Ned,” she called softly.

",['Ned'],['Ned']
"“Catelyn,” he said.",['Catelyn'],['Catelyn']
"“Arya is already in love, and Sansa is charmed and gracious, but Rickon is not quite sure.”

“Is he afraid?”","['Sansa', 'Rickon']","['Sansa', 'Rickon']"
"Ned asked.

",['Ned'],['Ned']
Ned frowned.,['Ned'],['Ned']
"“Yes,” Catelyn agreed.",['Catelyn'],['Catelyn']
"“The man died well, I’ll give him that,” Ned said.",['Ned'],['Ned']
"You would have been proud of Bran.”

",['Bran'],['Bran']
"“I am always proud of Bran,” Catelyn replied, watching the sword as he stroked it.",['Catelyn'],['Catelyn']
"Catelyn had no love for swords, but she could not deny that Ice had its own beauty.","['Catelyn', 'Ice']",['Catelyn']
"“He was the fourth this year,” Ned said grimly.","['the fourth this year', 'Ned']",['Ned']
"Ned lifted Ice, looked down the cool steel length of it.",['Ned'],['Ned']
"The thought made Catelyn shudder.

",['Catelyn'],['Catelyn']
Ned saw the dread on her face.,['Ned'],['Ned']
Maester Luwin will tell you they never lived at all.,['Maester Luwin'],['Luwin']
"“Until this morning, no living man had ever seen a direwolf either,” Catelyn reminded him.

","['this morning', 'Catelyn']",['Catelyn']
"What is it, my lady?”

Catelyn took her husband’s hand.",['Catelyn'],['Catelyn']
"In his youth, Ned had fostered at the Eyrie, and the childless Lord Arryn had become a second father to him and his fellow ward, Robert Baratheon.","['Ned', 'Eyrie', 'second', 'Robert Baratheon']","['Ned', 'Robert']"
"And one day fifteen years ago, this second father had become a brother as well, as he and Ned stood together in the sept at Riverrun to wed two sisters, the daughters of Lord Hoster Tully.

","['one day fifteen years ago', 'second', 'Ned', 'two', 'Hoster Tully']",['Ned']
"“Is this news certain?”

“It was the king’s seal, and the letter is in Robert’s own hand.",['Robert'],['Robert']
"Even Maester Pycelle was helpless, but he brought the milk of the poppy, so Jon did not linger long in pain.”

","['Maester Pycelle', 'Jon']",['Jon']
“And Jon’s boy.,['Jon'],['Jon']
"What word of them?”

“The message said only that they were well, and had returned to the Eyrie,” Catelyn said.",['Catelyn'],['Catelyn']
Lord Jon’s memory will haunt each stone.,['Jon'],['Jon']
"Jon named him Knight of the Gate, I’d heard.”

Catelyn nodded.","['him Knight', 'Catelyn']",['Catelyn']
"“Brynden will do what he can for her, and for the boy.",['Brynden'],['Brynden']
"That is some comfort, but still …”

“Go to her,” Ned urged.",['Ned'],['Ned']
"That boy of hers needs other children about him, and Lysa should not be alone in her grief.”

",['Lysa'],['Lysa']
"“Would that I could,” Catelyn said.",['Catelyn'],['Catelyn']
"It took Ned a moment to comprehend her words, but when the understanding came, the darkness left his eyes.",['Ned'],['Ned']
“Robert is coming here?”,['Robert'],['Robert']
Catelyn wished she could share his joy.,['Catelyn'],['Catelyn']
I shall tell Maester Luwin to send his swiftest bird.”,['Maester Luwin'],['Luwin']
Ned rose and pulled her to her feet.,['Ned'],['Ned']
"“Robert will keep an easy pace for their sakes,” he said.",['Robert'],['Robert']
Ned grimaced at that.,['Ned'],['Ned']
"There was small love between him and the queen’s family, Catelyn knew.",['Catelyn'],['Catelyn']
"The Lannisters of Casterly Rock had come late to Robert’s cause, when victory was all but certain, and he had never forgiven them.",['Robert'],['Robert']
"“Well, if the price for Robert’s company is an infestation of Lannisters, so be it.","['Robert', 'Lannisters']",['Robert']
"It sounds as though Robert is bringing half his court.”

","['Robert', 'half']",['Robert']
"Please, Ned, guard your tongue.",['Ned'],['Ned']
Ned squeezed her hand.,['Ned'],['Ned']
"“There must be a feast, of course, with singers, and Robert will want to hunt.",['Robert'],['Robert']
I shall send Jory south with an honor guard to meet them on the kingsroad and escort them back.,['Jory'],['Jory']
"“Is it really mine?”

“A gift from the Magister Illyrio,” Viserys said, smiling.","['the Magister Illyrio', 'Viserys']",['Viserys']
"“Illyrio is no fool,” Viserys said.","['Illyrio', 'Viserys']",['Viserys']
"Khal Drogo has a thousand horses, tonight he looks for a different sort of mount.”","['Khal Drogo', 'a thousand', 'tonight']",['Khal']
"Viserys had been a boy of eight when they fled King’s Landing to escape the advancing armies of the Usurper, but Daenerys had been only a quickening in their mother’s womb.

","['eight', 'King’s Landing', 'Usurper', 'Daenerys']",['Daenerys']
"The sack of King’s Landing by the ones Viserys called the Usurper’s dogs, the lords Lannister and Stark.","['King’s Landing', 'Viserys', 'Lannister', 'Stark']",['Viserys']
"Her mother had died birthing her, and for that her brother Viserys had never forgiven her.

",['Viserys'],['Viserys']
"All that Daenerys wanted back was the big house with the red door, the lemon tree outside her window, the childhood she had never known.

",['Daenerys'],['Daenerys']
"The water was scalding hot, but Daenerys did not flinch or cry out.",['Daenerys'],['Daenerys']
"The line must be kept pure, Viserys had told her a thousand times; theirs was the kingsblood, the golden blood of old Valyria, the blood of the dragon.","['Viserys', 'thousand', 'Valyria']",['Viserys']
"Yet now Viserys schemed to sell her to a stranger, a barbarian.

",['Viserys'],['Viserys']
"A princess, she thought, but she remembered what the girl had said, how Khal Drogo was so rich even his slaves wore golden collars.",['Khal Drogo'],['Khal']
"“She’s too skinny,” Viserys said.",['Viserys'],['Viserys']
"He rested his hand on the hilt of the sword that Illyrio had lent him, and said, “Are you sure that Khal Drogo likes his women this young?”

“She has had her blood.","['Illyrio', 'Khal Drogo']",['Khal']
"When he released her hand, Daenerys found herself trembling.

",['Daenerys'],['Daenerys']
"Boys, horses, sheep …”

“Best not suggest this to Khal Drogo,” Illyrio said.

","['Khal Drogo', 'Illyrio']",['Khal']
"“We won’t need his whole khalasar,” Viserys said.",['Viserys'],['Viserys']
"The nine-towered manse of Khal Drogo sat beside the waters of the bay, its high brick walls overgrown with pale ivy.","['nine', 'Khal Drogo']",['Khal']
"“Oh, yes,” Viserys said darkly.",['Viserys'],['Viserys']
"“By the pillar is Khal Moro, with his son Rhogoro.","['Khal Moro', 'Rhogoro']",['Khal']
"The man with the green beard is brother to the Archon of Tyrosh, and the man behind him is Ser Jorah Mormont.”

","['the Archon of Tyrosh', 'Jorah Mormont']",['Jorah']
The last name caught Daenerys.,['Daenerys'],['Daenerys']
"“I shall wish to speak with Ser Jorah before the night is done,” her brother said.",['Jorah'],['Jorah']
"Anxiously, she turned and looked at the man Viserys hoped would ask to wed her before the night was done.

",['Viserys'],['Viserys']
"Khal Drogo was a head taller than the tallest man in the room, yet somehow light on his feet, as graceful as the panther in Illyrio’s menagerie.","['Khal Drogo', 'Illyrio']",['Khal']
Viserys said.,['Viserys'],['Viserys']
Khal Drogo has never lost a fight.,['Khal Drogo'],['Khal']
Dany looked at Khal Drogo.,['Khal Drogo'],['Khal']
"“Please, please, Viserys, I don’t want to, I want to go home.”

",['Viserys'],['Viserys']
"Magister Illyrio, all smiles and bows, was escorting Khal Drogo over to where they stood.","['Magister Illyrio', 'Khal Drogo']",['Khal']
Ned knew many of the riders.,['Ned'],['Ned']
"There came Ser Jaime Lannister with hair as bright as beaten gold, and there Sandor Clegane with his terrible burned face.","['Jaime Lannister', 'Sandor Clegane']","['Jaime', 'The Hound']"
"Yet the huge man at the head of the column, flanked by two knights in the snow-white cloaks of the Kingsguard, seemed almost a stranger to Ned … until he vaulted off the back of his warhorse with a familiar roar, and crushed him in a bone-crunching hug.","['two', 'Kingsguard', 'Ned']",['Ned']
Would that Ned had been able to say the same.,['Ned'],['Ned']
"He’d had a giant’s strength too, his weapon of choice a spiked iron warhammer that Ned could scarcely lift.",['Ned'],['Ned']
"Ned had last seen the king nine years before during Balon Greyjoy’s rebellion, when the stag and the direwolf had joined to end the pretensions of the self-proclaimed King of the Iron Islands.","['Ned', 'nine years', 'Balon Greyjoy’s', 'King of the Iron Islands']",['Ned']
"Since the night they had stood side by side in Greyjoy’s fallen stronghold, where Robert had accepted the rebel lord’s surrender and Ned had taken his son Theon as hostage and ward, the king had gained at least eight stone.","['the night', 'Greyjoy', 'Robert', 'Ned', 'Theon', 'at least eight']","['Robert', 'Ned', 'Theon']"
"Yet Robert was Ned’s king now, and not just a friend, so he said only, “Your Grace.","['Robert', 'Ned', 'Your Grace']","['Robert', 'Ned']"
"Robert’s queen, Cersei Lannister, entered on foot with her younger children.","['Robert', 'Cersei Lannister']","['Robert', 'Cersei']"
"Ned knelt in the snow to kiss the queen’s ring, while Robert embraced Catelyn like a long-lost sister.","['Ned', 'Robert', 'Catelyn']","['Ned', 'Robert', 'Catelyn']"
"Ned loved him for that, for remembering her still after all these years.","['Ned', 'these years']",['Ned']
"She had said no more than that; Robert had looked at her, and her twin brother Jaime had taken her quietly by the arm, and she had said no more.

","['Robert', 'Jaime']","['Robert', 'Jaime']"
"They went down to the crypt together, Ned and this king he scarcely recognized.",['Ned'],['Ned']
"“I was starting to think we would never reach Winterfell,” Robert complained as they descended.","['Winterfell', 'Robert']",['Robert']
"“In the south, the way they talk about my Seven Kingdoms, a man forgets that your part is as big as the other six combined.”

“I trust you enjoyed the journey, Your Grace?”

Robert snorted.","['Seven', 'six', 'Robert']",['Robert']
"Where are all your people?”

“Likely they were too shy to come out,” Ned jested.",['Ned'],['Ned']
Robert snorted.,['Robert'],['Robert']
"Snow, Ned!”",['Ned'],['Ned']
"“Late summer snows are common enough,” Ned said.","['Late summer', 'Ned']",['Ned']
"“The Others take your mild snows,” Robert swore.","['The Others', 'Robert']",['Robert']
"“The winters are hard,” Ned admitted.",['Ned'],['Ned']
"“You need to come south,” Robert told him.",['Robert'],['Robert']
"And you ought to see the towns, Ned!",['Ned'],['Ned']
"“And the girls, Ned!” he exclaimed, his eyes sparkling.",['Ned'],['Ned']
"Robert Baratheon had always been a man of huge appetites, a man who knew how to take his pleasures.",['Robert Baratheon'],['Robert']
That was not a charge anyone could lay at the door of Eddard Stark.,['Eddard Stark'],['Ned']
Yet Ned could not help but notice that those pleasures were taking a toll on the king.,['Ned'],['Ned']
"Robert was breathing heavily by the time they reached the bottom of the stairs, his face red in the lantern light as they stepped out into the darkness of the crypt.

",['Robert'],['Robert']
"“Your Grace,” Ned said respectfully.","['Your Grace', 'Ned']",['Ned']
"He led the way between the pillars and Robert followed wordlessly, shivering in the subterranean chill.",['Robert'],['Robert']
Ned wondered if that meant those ghosts were free to roam the castle now.,['Ned'],['Ned']
Ned stopped at last and lifted the oil lantern.,['Ned'],['Ned']
Ned did not like to think on that.,['Ned'],['Ned']
"Robert nodded silently, knelt, and bowed his head.

",['Robert'],['Robert']
"Lord Rickard Stark, Ned’s father, had a long, stern face.","['Rickard Stark', 'Ned']",['Ned']
"Lyanna had only been sixteen, a child-woman of surpassing loveliness.","['Lyanna', 'sixteen']",['Lyanna']
Ned had loved her with all his heart.,['Ned'],['Ned']
Robert had loved her even more.,['Robert'],['Robert']
"His eyes lingered on Lyanna’s face, as if he could will her back to life.",['Lyanna'],['Lyanna']
"“Ah, damn it, Ned, did you have to bury her in a place like this?”",['Ned'],['Ned']
"“She deserved more than darkness …”

“She was a Stark of Winterfell,” Ned said quietly.",['Ned'],['Ned']
"“I was with her when she died,” Ned reminded the king.",['Ned'],['Ned']
"Promise me, Ned.",['Ned'],['Ned']
Ned could recall none of it.,['Ned'],['Ned']
"“Lyanna was … fond of flowers.”

",['Lyanna'],['Lyanna']
"“Only once,” Robert said bitterly.

",['Robert'],['Robert']
"They had come together at the ford of the Trident while the battle crashed around them, Robert with his warhammer and his great antlered helm, the Targaryen prince armored all in black.","['ford', 'Trident', 'Robert', 'Targaryen']",['Robert']
"The waters of the Trident ran red around the hooves of their destriers as they circled and clashed, again and again, until at last a crushing blow from Robert’s hammer stove in the dragon and the chest beneath it.","['Trident', 'Robert']",['Robert']
"When Ned had finally come on the scene, Rhaegar lay dead in the stream, while men of both armies scrabbled in the swirling waters for rubies knocked free of his armor.

","['Ned', 'Rhaegar']",['Ned']
"“In my dreams, I kill him every night,” Robert admitted.",['Robert'],['Robert']
There was nothing Ned could say to that.,['Ned'],['Ned']
"“The Others take my wife,” Robert muttered sourly, but he started back the way they had come, his footsteps falling heavily.","['The Others', 'Robert']",['Robert']
"“I had not forgotten,” Ned replied quietly.",['Ned'],['Ned']
"When the king did not answer, he said, “Tell me about Jon.”

",['Jon'],['Jon']
Robert shook his head.,['Robert'],['Robert']
Ned paused a moment.,['Ned'],['Ned']
“Catelyn fears for her sister.,['Catelyn'],['Catelyn']
"How does Lysa bear her grief?”

Robert’s mouth gave a bitter twist.","['Lysa', 'Robert']","['Lysa', 'Robert']"
"“I think losing Jon has driven the woman mad, Ned.","['Jon', 'Ned']","['Jon', 'Ned']"
"Was I supposed to leave him to be raised by women?”

Ned would sooner entrust a child to a pit viper than to Lord Tywin, but he left his doubts unspoken.",['Ned'],['Ned']
"How can I do that if his mother steals him away?”

“I will take him as ward, if you wish,” Ned said.",['Ned'],['Ned']
"She and Catelyn were close as girls, and she would be welcome here as well.”

",['Catelyn'],['Catelyn']
"“I have more concern for my nephew’s welfare than I do for Lannister pride,” Ned declared.

",['Ned'],['Ned']
"Robert laughed, the sound rattling among the tombs and bouncing from the vaulted ceiling.",['Robert'],['Robert']
He put a massive arm around Ned’s shoulders.,['Ned'],['Ned']
The king kept his arm around Ned’s shoulder.,['Ned'],['Ned']
"Ned had his suspicions, but he did not give them voice.",['Ned'],['Ned']
"Benjen says—”

“No doubt I will hear what your brother says soon enough,” Robert said.","['Benjen', 'Robert']","['Benjen', 'Robert']"
"“His son …” Ned began.

",['Ned'],['Ned']
"“His son will succeed to the Eyrie and all its incomes,” Robert said brusquely.","['Eyrie', 'Robert']",['Robert']
That took Ned by surprise.,['Ned'],['Ned']
"“Perhaps when he comes of age, the honor can be restored to him,” Robert said.",['Robert'],['Robert']
"A six-year-old boy is no war leader, Ned.”

“In peace, the title is only an honor.","['six-year-old', 'Ned']",['Ned']
"Surely you owe Jon that much for his service.”

",['Jon'],['Jon']
He took his arm from around Ned’s shoulders.,['Ned'],['Ned']
"I am not ungrateful, Ned.",['Ned'],['Ned']
Robert grasped Ned by the elbow.,"['Robert', 'Ned']","['Robert', 'Ned']"
"“I have need of you, Ned.”

“I am yours to command, Your Grace.",['Ned'],['Ned']
Robert scarcely seemed to hear him.,['Robert'],['Robert']
"I want you at my side again, Ned.",['Ned'],['Ned']
"Robert looked off into the darkness, for a moment as melancholy as a Stark.","['Robert', 'Stark']",['Robert']
"It can drive a man to madness, Ned.",['Ned'],['Ned']
"Ah, no, not truly, but …”

“I understand,” Ned said softly.

",['Ned'],['Ned']
Robert looked at him.,['Robert'],['Robert']
Ned dropped to one knee.,"['Ned', 'one']",['Ned']
The offer did not surprise him; what other reason could Robert have had for coming so far?,['Robert'],['Robert']
"Robert was offering him a responsibility as large as the realm itself.

",['Robert'],['Robert']
Robert groaned with good-humored impatience.,['Robert'],['Robert']
"“You know the saying, about the king and his Hand?”

Ned knew the saying.",['Ned'],['Ned']
"Ned was still on one knee, his eyes upraised.","['Ned', 'one']",['Ned']
"“Damn it, Ned,” the king complained.",['Ned'],['Ned']
"“They say it grows so cold up here in winter that a man’s laughter freezes in his throat and chokes him to death,” Ned said evenly.","['winter', 'Ned']",['Ned']
"If Lyanna had lived, we should have been brothers, bound by blood as well as affection.",['Lyanna'],['Lyanna']
"My Joff and your Sansa shall join our houses, as Lyanna and I might once have done.”

","['Joff', 'Lyanna']",['Lyanna']
Robert waved an impatient hand.,['Robert'],['Robert']
"“Nothing would give me greater pleasure, Your Grace,” Ned answered.",['Ned'],['Ned']
"I need to tell my wife …”

“Yes, yes, of course, tell Catelyn, sleep on it if you must.”",['Catelyn'],['Catelyn']
"The king reached down, clasped Ned by the hand, and pulled him roughly to his feet.",['Ned'],['Ned']
For a moment Eddard Stark was filled with a terrible sense of foreboding.,['Eddard Stark'],['Ned']
"JON


There were times—not many, but a few—when Jon Snow was glad he was a bastard.","['JON', 'Jon Snow']",['Jon']
"Jon’s brothers and sisters had been seated with the royal children, beneath the raised platform where Lord and Lady Stark hosted the king and queen.","['Jon', 'Lady Stark']",['Jon']
"Down here on the benches, there was no one to stop Jon drinking as much as he had a thirst for.

",['Jon'],['Jon']
"They were fine company, and Jon relished the stories they were telling, tales of battle and bedding and the hunt.",['Jon'],['Jon']
"The procession had passed not a foot from the place he had been given on the bench, and Jon had gotten a good long look at them all.

",['Jon'],['Jon']
"Even at fourteen, Jon could see through her smile.

","['fourteen', 'Jon']",['Jon']
The king was a great disappointment to Jon.,['Jon'],['Jon']
"His father had talked of him often: the peerless Robert Baratheon, demon of the Trident, the fiercest warrior of the realm, a giant among princes.","['Robert Baratheon', 'Trident']",['Robert']
"Little Rickon first, managing the long walk with all the dignity a three-year-old could muster.","['Rickon', 'three-year-old']",['Rickon']
Jon had to urge him on when he stopped to visit.,['Jon'],['Jon']
"Close behind came Robb, in grey wool trimmed with white, the Stark colors.","['Robb', 'Stark']",['Robb']
"Arya was paired with plump young Tommen, whose white-blond hair was longer than hers.",['Tommen'],['Tommen']
"Sansa, two years older, drew the crown prince, Joffrey Baratheon.","['two years', 'Joffrey Baratheon']",['Joffrey']
"He was twelve, younger than Jon or Robb, but taller than either, to Jon’s vast dismay.","['twelve', 'Jon']",['Jon']
"Sansa looked radiant as she walked beside him, but Jon did not like Joffrey’s pouty lips or the bored, disdainful way he looked at Winterfell’s Great Hall.

","['Jon', 'Joffrey', 'Winterfell’s Great Hall']","['Jon', 'Joffrey']"
"Ser Jaime Lannister was twin to Queen Cersei; tall and golden, with flashing green eyes and a smile that cut like a knife.","['Jaime Lannister', 'Queen Cersei']",['Jaime']
Jon found it hard to look away from him.,['Jon'],['Jon']
"Tyrion Lannister, the youngest of Lord Tywin’s brood and by far the ugliest.",['Tyrion Lannister'],['Tyrion']
"All that the gods had given to Cersei and Jaime, they had denied Tyrion.",['Cersei'],['Cersei']
"Jon watched him with fascination.

",['Jon'],['Jon']
"The last of the high lords to enter were his uncle, Benjen Stark of the Night’s Watch, and his father’s ward, young Theon Greyjoy.","['Benjen Stark', 'the Night’s Watch', 'Theon Greyjoy']","['Benjen', 'Theon']"
"Jon had started drinking then, and he had not stopped.

",['Jon'],['Jon']
"His brothers and sisters had not been permitted to bring their wolves to the banquet, but there were more curs than Jon could count at this end of the hall, and no one had said a word about his pup.",['Jon'],['Jon']
"Jon rubbed at them savagely, cursing the smoke.",['Jon'],['Jon']
Jon watched the confrontation.,['Jon'],['Jon']
Jon grinned and reached under the table to ruffle the shaggy white fur.,['Jon'],['Jon']
Jon looked up happily as his uncle Ben put a hand on his head and ruffled his hair much as Jon had ruffled the wolf’s.,"['Jon', 'Ben', 'Jon', 'wolf']","['Jon', 'Jon']"
Benjen Stark straddled the bench with long legs and took the wine cup out of Jon’s hand.,['Benjen Stark'],['Benjen']
"How many cups have you had, Jon?”

Jon smiled.

","['Jon', 'Jon']","['Jon', 'Jon']"
"“He’s not like the others,” Jon said.",['Jon'],['Jon']
Benjen Stark gave Jon a long look.,['Benjen Stark'],['Benjen']
Jon had noticed that too.,['Jon'],['Jon']
"His father was observing all the courtesies, but there was tightness in him that Jon had seldom seen before.",['Jon'],['Jon']
"“The queen is angry too,” Jon told his uncle in a low, quiet voice.",['Jon'],['Jon']
"“You don’t miss much, do you, Jon?",['Jon'],['Jon']
Jon swelled with pride.,['Jon'],['Jon']
"“Take me with you when you go back to the Wall,” Jon said in a sudden rush.",['Jon'],['Jon']
"“The Wall is a hard place for a boy, Jon.”

",['Jon'],['Jon']
"“I will turn fifteen on my next name day, and Maester Luwin says bastards grow up faster than other children.”

","['fifteen', 'Maester Luwin']",['Luwin']
"“That’s true enough,” Benjen said with a downward twist of his mouth.",['Benjen'],['Benjen']
"He took Jon’s cup from the table, filled it fresh from a nearby pitcher, and drank down a long swallow.

",['Jon'],['Jon']
"“Daeren Targaryen was only fourteen when he conquered Dorne,” Jon said.","['only fourteen', 'Jon']",['Jon']
Bran and Rickon would be Robb’s bannermen and rule holdfasts in his name.,"['Rickon', 'Robb']","['Rickon', 'Robb']"
His sisters Arya and Sansa would marry the heirs of other great houses and go south as mistress of castles of their own.,"['Arya', 'Sansa']","['Arya', 'Sansa']"
"“You don’t know what you’re asking, Jon.",['Jon'],['Jon']
"“A bastard can have honor too,” Jon said.",['Jon'],['Jon']
"“You are a boy of fourteen,” Benjen said.","['fourteen', 'Benjen']",['Benjen']
"Jon said hotly.

",['Jon'],['Jon']
"“You might, if you knew what it meant,” Benjen said.",['Benjen'],['Benjen']
Jon felt anger rise inside him.,['Jon'],['Jon']
Benjen Stark stood up.,['Benjen Stark'],['Benjen']
"“Come back to me after you’ve fathered a few bastards of your own, and we’ll see how you feel.”

Jon trembled.",['Jon'],['Jon']
"Laughter boomed all around him, and Jon felt hot tears on his cheeks.","['Laughter', 'Jon']",['Jon']
"He looked bored and miserable as he huddled there alone, but Jon would have traded places with him in an instant.",['Jon'],['Jon']
"Jon had seen an abandoned holdfast once, a drear place where nothing moved but the wind and the stones kept silent about whatever people had lived there.",['Jon'],['Jon']
They were the last things Jon wanted to hear.,['Jon'],['Jon']
"Jon turned.

",['Jon'],['Jon']
"Tyrion Lannister was sitting on the ledge above the door to the Great Hall, looking for all the world like a gargoyle.","['Tyrion Lannister', 'the Great Hall']",['Tyrion']
"“Is that animal a wolf?”

“A direwolf,” Jon said.",['Jon'],['Jon']
"Might I have a closer look at your wolf?”

Jon hesitated, then nodded slowly.","['wolf', 'Jon']",['Jon']
"Jon gasped, then watched with awe as Tyrion Lannister spun around in a tight ball, landed lightly on his hands, then vaulted backward onto his legs.

","['Jon', 'Tyrion Lannister']","['Jon', 'Tyrion']"
"My apologies.”

“He’s not scared,” Jon said.",['Jon'],['Jon']
"The wolf pup padded closer and nuzzled at Jon’s face, but he kept a wary eye on Tyrion Lannister, and when the dwarf reached out to pet him, he drew back and bared his fangs in a silent snarl.",['Tyrion Lannister'],['Tyrion']
"“Sit, Ghost,” Jon commanded.","['Sit, Ghost', 'Jon']",['Jon']
"“If I wasn’t here, he’d tear out your throat,” Jon said.",['Jon'],['Jon']
He cocked his oversized head to one side and looked Jon over with his mismatched eyes.,"['one', 'Jon']",['Jon']
"“I am Tyrion Lannister.”

",['Tyrion Lannister'],['Tyrion']
"“I know,” Jon said.",['Jon'],['Jon']
